"Company","Ticker","Stock Price","Market Cap","Last Quarter Filed","Last Quarter Revenue","Annualized Revenue","LTM Revenue","YoY Growth%","Revenue Multiple","Shares Outstanding (estimate)","IPO Year","Year Founded","Founder(s)","Headquarters","Last Quarter EBITDA","Annualized EBITDA","YoY Change in EBITDA%","EBITDA Margin","Last Quarter Net Income","Annualized Net Income","YoY Change in Net Income%","Net Income Margin","Cash and Short Term Investments","YoY Change in Cash and Short Term Investments%","Total Debt","Lead Investor(s) Pre-IPO","Pre-IPO Venture Funding Estimate","Employee Count","Annual Revenue per Employee (estimate)","Product Description","September 2024 Website Traffic (Estimate)","YoY Change in Website Traffic%","Company Website","Company Investor Relations Page","S-1 Filing","2023 10-K Filing"
"Jfrog","FROG","$47.86","$5,587,000,000","Jun 2025","$127,220,000","$508,880,000","$474,761,000","23.46%","10.98","116,736,314","2020","2008","Shlomi Ben Haim, Yoav Landman, Fred Simon, Asaf Yigal","Sunnyvale, California, United States","-$19,420,000","-$77,680,000","-39.11%","-15.26%","-$21,680,000","-$86,720,000","-51.54%","-17.04%","$611,700,000","3.45%","$13,976,000.00","Battery Ventures, Sapphire Ventures","$227 million","1600","$318,100","DevOps platform for developers to manage and distribute software packages.","","","http://www.jfrog.com","http://investors.jfrog.com","https://www.sec.gov/Archives/edgar/data/1800667/000119312520228195/d841831ds1.htm","https://www.sec.gov/Archives/edgar/data/1800667/000095017024015873/frog-20231231.htm"
"Kaltura","KLTR","$1.68","$260,000,000","Jun 2025","$44,460,000","$177,840,000","$181,350,000","0.98%","1.46","154,761,905","2021","2006","Ron Yekutiel, Shay David, Eran Etam","New York City, United States","-$31,000","-$124,000","99.57%","-0.07%","-$7,750,000","-$31,000,000","22.53%","-17.43%","$71,200,000","4.24%","$50,030,000.00","Morgan Stanley, SAP, Goldman Sachs","$166 million","563","$315,900","Video platform for managing, creating, and distributing video content.","","","http://www.kaltura.com","http://investors.kaltura.com","https://www.sec.gov/Archives/edgar/data/1432133/000162828021003617/kalturas-1.htm","https://www.sec.gov/Archives/edgar/data/1432133/000143213324000088/kltr-20231231.htm"
"Karooooo","KARO","$54.98","$1,699,000,000","May 2025","$70,000,000","$280,000,000","$277,349,398","18.04%","6.07","30,902,146","2021","2004","Zak Calisto","Midrand, South Africa","$31,650,000","$126,600,000","16.57%","45.21%","$15,380,000","$61,520,000","19.19%","21.97%","$60,000,000","10.70%","$42,224,837.00","N/A","N/A","5711","$49,000","Telematics and fleet management solutions using advanced technology and data analytics to optimize vehicle tracking, driver behavior monitoring, and asset management","","","http://www.karooooo.com","http://www.karooooo.com/investor-relations","",""
"KingSoft Cloud","KC","$16.06","$35,045,000,000","Jun 2025","$340,000,000","$1,360,000,000","$1,203,140,404","24.18%","25.77","2,182,129,514","2020","2012","Peng Lei","Beijing, China","$37,650,000","$150,600,000","851.99%","11.07%","-$65,240,000","-$260,960,000","-29.53%","-19.19%","$780,000,000","197.32%","$740,874,989.00","Xiaomi Corporation, Tencent Holdings Limited.","$1.8 billion","13868","$98,100","Cloud computing, including storage, data processing, and data analytics.","","","http://www.kingsoftcloud.com","http://ir.ksyun.com","",""
"Klaviyo","KVYO","$32.92","$9,875,000,000","Jun 2025","$293,120,000","$1,172,480,000","$1,078,202,000","31.91%","8.42","299,969,623","2023","2012","Andrew Bialecki, Ed Hallen","Boston, Massachusetts, United States","-$29,300,000","-$117,200,000","-170.80%","-10.00%","-$24,280,000","-$97,120,000","-391.32%","-8.28%","$935,520,000","17.89%","$53,438,000.00","Summit Partners, Shopify, Accel","$775 million","2435","$481,500","Targeted marketing automation system with features like email marketing, personalized messaging, segmentation, and analytics.","","","http://www.klaviyo.com","http://investors.klaviyo.com","https://www.sec.gov/Archives/edgar/data/1835830/000162828023030618/klaviyoincs-1.htm","https://www.sec.gov/Archives/edgar/data/1835830/000183583024000022/kvyo-20231231.htm"
"LegalZoom","LZ","$10.42","$1,878,000,000","Jun 2025","$192,510,000","$770,040,000","$705,924,000","8.54%","2.44","180,230,326","2021","2001","Brian P. Liu, Robert Shapiro, Eddie Hartman, Brian S. Lee","Glendale, California, United States","$8,330,000","$33,320,000","-16.71%","4.33%","-$266,000","-$1,064,000","-120.24%","-0.14%","$217,040,000","82.70%","$7,879,000.00","Kleiner Perkins, Institutional Venture Partners","$266 million","964","$798,800","Legal documents, forms, and legal services for individuals and SMBs.","","","http://www.legalzoom.com","http://investors.legalzoom.com","https://www.sec.gov/Archives/edgar/data/1286139/000104746912005763/a2209299zs-1.htm","https://www.sec.gov/Archives/edgar/data/1286139/000128613924000031/lz-20231231.htm"
"Lightspeed POS","LSPD","$12.37","$2,337,000,000","Jun 2025","$304,940,000","$1,219,760,000","$1,076,826,000","14.60%","1.92","188,924,818","2019","2005","Dax Dasilva","Montreal, Canada","$719,000","$2,876,000","125.27%","0.24%","-$49,570,000","-$198,280,000","-41.57%","-16.26%","$447,600,000","-33.59%","$16,973,000.00","Accel Partners, Caisse de dépôt et placement du Québec (CDPQ), iNovia Capital.","$292 million","3000","$406,600","Point-of-sale solution with features like transaction processing, inventory management, analytics, and customer record management.","","","http://www.lightspeedhq.com","http://investors.lightspeedhq.com","",""
"LivePerson","LPSN","$0.68","$66,000,000","Jun 2025","$59,600,000","$238,400,000","$271,750,000","-25.38%","0.28","97,058,824","2000","1995","Robert LoCascio","New York City, New York, United States","-$114,000","-$456,000","98.21%","-0.19%","-$15,710,000","-$62,840,000","-137.59%","-26.36%","$161,960,000","10.97%","$527,226,000.00","Sierra Ventures, Benchmark Capital","$74 million","893","$267,000","A customer messaging with real-time chatbots and customer data analytics.","","","http://www.liveperson.com","http://ir.liveperson.com","","https://www.sec.gov/Archives/edgar/data/1102993/000110299324000037/lpsn-20231231.htm"
"LiveRamp","RAMP","$26.48","$1,737,000,000","Jun 2025","$194,820,000","$779,280,000","$764,441,000","10.72%","2.23","65,596,677","2018","2011","Aneel Bhusri, Mike Driscoll","San Francisco, California, United States","$11,030,000","$44,120,000","2360.86%","5.66%","$7,750,000","$31,000,000","203.45%","3.98%","$371,110,000","8.28%","$36,290,000.00","Acxiom Ventures, Institutional Venture Partners (IVP)","$63 million","1300","$599,400","Data connectivity and data management solutions aimed at unifying data from various marketing platforms.","","","http://www.liveramp.com","http://investors.liveramp.com","","https://www.sec.gov/Archives/edgar/data/733269/000073326924000018/ramp-20240331.htm"
"Livongo","TDOC","$7.87","$1,391,000,000","Jun 2025","$631,900,000","$2,527,600,000","$2,542,268,000","-1.64%","0.55","176,747,141","2015","2008","Glen Tullman, Lee Shapiro","Mountain View, California, United States","$2,680,000","$10,720,000","-83.90%","0.42%","-$32,660,000","-$130,640,000","96.10%","-5.17%","$679,620,000","-41.53%","$1,584,613,000.00","General Catalyst, Kinnevik, Kleiner Perkins, Merck Global Health Innovation Fund, Sapphire Ventures","$235 million","5060","$499,500","Mobile application in the healthcare space for managing chronic conditions, providing personalized insights, coaching, and support.","","","http://www.livongo.com","http://ir.teladochealth.com","https://www.sec.gov/Archives/edgar/data/1477449/000104746915005109/a2224910zs-1.htm","https://www.sec.gov/Archives/edgar/data/1477449/000147744924000023/tdoc-20231231.htm"
"Marqeta","MQ","$5.79","$2,595,000,000","Jun 2025","$150,390,000","$601,560,000","$553,222,000","20.05%","4.31","448,186,528","2021","2010","Jason Gardner, Omri Dahan, and Amy Pressman","Oakland, California, United States","-$2,000,000","-$8,000,000","-101.86%","-1.33%","-$647,000","-$2,588,000","-100.54%","-0.43%","$821,590,000","-28.78%","$13,218,000.00","Coatue Management, Vitruvian Partners, Granite Ventures, Iconiq Capital","$528 million","854","$704,400","Card issuing platform, enabling businesses to create and manage payment cards.","","","http://www.marqeta.com","http://investors.marqeta.com","https://www.sec.gov/Archives/edgar/data/1522540/000119312521162113/d64065ds1.htm","https://www.sec.gov/Archives/edgar/data/1522540/000162828024007663/mq-20231231.htm"
"Match Group","MTCH","$37.44","$9,009,000,000","Jun 2024","$864,066,000","$3,456,264,000","$3,450,904,000","4.16%","2.61","240,625,000","2020","1995","Gary Kremen, Peng T. Ong, Fran Maier, Will Bunker, Jim Young","Dallas, Texas, United States","$247,095,000","$988,380,000","1.22%","28.60%","$133,320,000","$533,280,000","-2.93%","15.43%","$843,604,000","-2.88%","$3,427,164,000.00","Blackstone Group, General Atlantic","$1.8 billion","2500","$1,382,500","Online dating apps, including Tinder, OkCupid, and Match.com.","","","http://www.match.com","http://ir.mtch.com","","https://www.sec.gov/Archives/edgar/data/891103/000089110324000014/mtch-20231231.htm"
"MicroStrategy","MSTR","$335.09","$95,922,000,000","Jun 2025","$114,490,000","$457,960,000","$459,276,000","2.73%","209.45","286,257,423","1998","1989","Michael J. Saylor","Tysons, Virginia, United States","$14,040,000,000","$56,160,000,000","7239.84%","12263.08%","$10,020,000,000","$40,080,000,000","9870.81%","8751.86%","$50,100,000","-25.15%","$7,248,078,000.00","American Research and Development Corporation, In-Q-Tel","$10 million","1483","$308,800","Business intelligence, mobile software, and cloud-based services for data analysis and visualization. Also well known for holding a lot of Bitcoin.","","","http://www.microstrategy.com","http://www.microstrategy.com/investor-relations","","https://www.sec.gov/Archives/edgar/data/1050446/000095017024015847/mstr-20231231.htm"
"Mitek Systems","MITK","$9.76","$446,000,000","Jun 2025","$45,730,000","$182,920,000","$178,134,000","1.67%","2.44","45,696,721","1988","1986","John M. Thornton, James B. DeBello","San Diego, California, United States","$7,800,000","$31,200,000","28.03%","17.06%","$2,400,000","$9,600,000","1009.26%","5.25%","$167,070,000","35.75%","$148,636,000.00","Insight Venture Partners, Sutter Hill Ventures","$32 million","598","$305,900","Mobile capture and identity verification solutions enabling financial transactions through mobile devices.","","","http://www.miteksystems.com","http://investors.miteksystems.com","","https://www.sec.gov/Archives/edgar/data/807863/000095012324002926/mitk-20230930.htm"
"Monday","MNDY","$195.60","$10,083,000,000","Jun 2025","$299,010,000","$1,196,040,000","$1,100,240,000","26.64%","8.43","51,549,080","2021","2012","Roy Mann, Eran Zinman, and Eran Yahav","New York City, New York, United States","-$8,180,000","-$32,720,000","-273.44%","-2.74%","$1,570,000","$6,280,000","-89.01%","0.53%","$1,650,000,000","27.93%","$106,036,000.00","Insight Partners, Hamilton Lane","$234 million","2508","$476,900","Project management software that helps teams plan, track, and collaborate on tasks, with features like customizable workflows, automation, and visual dashboards.","","","http://www.monday.com","http://ir.monday.com","",""
"MongoDB","MDB","$327.37","$26,634,000,000","Jul 2025","$591,400,000","$2,365,600,000","$2,218,189,000","23.70%","11.26","81,357,485","2017","2007","Eliot Horowitz, Dwight Merriman, Kevin Ryan","New York City, United States","-$58,620,000","-$234,480,000","13.91%","-9.91%","-$47,050,000","-$188,200,000","13.72%","-7.96%","$2,350,000,000","3.56%","$36,500,000.00","Sequoia Capital, Flybridge Capital Partners, Union Square Ventures","$311 million","5654","$418,400","NoSQL database for storing and managing large volumes of unstructured data.","","","http://www.mongodb.com","http://investors.mongodb.com","https://www.sec.gov/Archives/edgar/data/1441816/000104746917006014/a2233365zs-1.htm","https://www.sec.gov/Archives/edgar/data/1441816/000144181624000049/mdb-20240131.htm"
"My Size","MYSZ","$1.14","$4,000,000","Jun 2025","$2,010,000","$8,040,000","$6,779,000","1.36%","0.50","3,508,772","2016","2014","Ronen Luzon","Airport City, Israel","-$380,000","-$1,520,000","56.27%","-18.91%","-$450,000","-$1,800,000","53.32%","-22.39%","$4,280,000","33.77%","$276,000.00","N/A","$5.5 million.","13","$618,500","Mobile measurement solution, allowing users to accurately measure objects using their smartphone camera.","","","http://www.mysizeid.com","http://mysizeid.com/investors/","https://www.sec.gov/Archives/edgar/data/1211805/000121390017012574/fs12017_mysize.htm","https://www.sec.gov/Archives/edgar/data/1211805/000149315224012542/form10-k.htm"
"N-Able","NABL","$8.19","$1,532,000,000","Jun 2025","$131,250,000","$525,000,000","$482,397,000","9.88%","2.92","187,057,387","2021","2000","Gavin Garbutt","Ottawa, Canada","$22,720,000","$90,880,000","-30.30%","17.31%","-$4,020,000","-$16,080,000","-142.54%","-3.06%","$93,870,000","-40.40%","$369,193,000.00","Insight Partners","$4.5 million","1882","$279,000","Remote monitoring and management solutions for IT service providers.","","","http://www.n-able.com","http://investors.n-able.com","https://www.sec.gov/Archives/edgar/data/1834488/000162828021017497/nabl-20210823.htm","https://www.sec.gov/Archives/edgar/data/1834488/000183448824000032/nabl-20231231.htm"
"Ncino","NCNO","$29.99","$3,473,000,000","Jul 2025","$148,820,000","$595,280,000","$573,119,000","12.40%","5.83","115,805,268","2020","2012","Pierre Naudé","Wilmington, North Carolina, United States","$14,260,000","$57,040,000","623.60%","9.58%","-$15,260,000","-$61,040,000","-38.20%","-10.25%","$123,070,000","1.36%","$236,824,000.00","Wellington Management, Salesforce Ventures","$213 million","1833","$324,800","Platform for financial institutions to streamline loan origination, document management, and customer relationship management.","","","http://www.ncino.com","http://investor.ncino.com","","https://www.sec.gov/Archives/edgar/data/1902733/000190273324000053/ncno-20240131.htm"
"Nerdy","NRDY","$1.28","$238,000,000","Jun 2025","$45,260,000","$181,040,000","$178,378,000","-11.22%","1.31","185,937,500","2020","2015","Chuck Cohn","Chicago, Illinois, United States","-$12,000,000","-$48,000,000","19.18%","-26.51%","-$7,900,000","-$31,600,000","13.15%","-17.45%","$36,720,000","-47.42%","$928,000.00","TPG Capital, Oakley Capital","$1.7 billion","600","$301,700","Online learning platform that connects students with tutors for personalized lessons in various subjects.","","","http://www.nerdy.com","http://investors.nerdy.com","https://www.sec.gov/Archives/edgar/data/1819404/000119312521299492/d189572ds1.htm","https://www.sec.gov/Archives/edgar/data/1819404/000181940424000019/nrdy-20231231.htm"
"Netflix","NFLX","$1,200.51","$510,128,000,000","Jun 2025","$11,080,000,000","$44,320,000,000","$41,693,183,000","15.90%","11.51","424,926,073","2002","1997","Reed Hastings, Marc Randolph","Los Gatos, California, United States","$3,850,000,000","$15,400,000,000","43.61%","34.75%","$3,130,000,000","$12,520,000,000","45.55%","28.25%","$8,390,000,000","26.06%","$15,582,804,000.00","Technology Crossover Ventures","$30 Million","14000","$3,165,700","Subscription-based streaming service for TV shows, movies, documentaries, etc.","","","http://www.netflix.com","http://ir.netflix.net","https://www.sec.gov/Archives/edgar/data/1065280/000101287002002125/ds1a.htm","https://www.sec.gov/Archives/edgar/data/1065280/000106528024000030/nflx-20231231.htm"
"Nice","NICE","$146.18","$8,965,000,000","Jun 2025","$726,710,000","$2,906,840,000","$2,838,467,000","9.38%","3.08","61,328,499","1996","1986","Benny Levin","Ra'anana, Israel","$205,200,000","$820,800,000","13.78%","28.24%","$187,400,000","$749,600,000","61.86%","25.79%","$1,630,000,000","8.52%","$563,603,000.00","N/A","N/A","8726","$333,100","Software solutions for enterprise organizations, specializing in customer experience management, workforce optimization, and fraud prevention","","","http://www.nice.com","http://www.nice.com/company/investors","",""
"Okta","OKTA","$89.92","$15,852,000,000","Jul 2025","$728,000,000","$2,912,000,000","$2,763,000,000","12.69%","5.44","176,290,036","2017","2009","Todd McKinnon, Frederic Kerrest","San Francisco, California, United States","$65,000,000","$260,000,000","983.33%","8.93%","$67,000,000","$268,000,000","131.03%","9.20%","$2,860,000,000","21.20%","$952,000,000.00","Sequoia Capital, Andreessen Horowitz","$229 million","5914","$492,400","Identity management solutions for secure access to applications and data.","","","http://www.okta.com","http://investor.okta.com","https://www.sec.gov/Archives/edgar/data/1660134/000119312517080301/d289173ds1.htm","https://www.sec.gov/Archives/edgar/data/1660134/000166013424000025/okta-20240131.htm"
"Olo","OLO","$10.26","$1,741,000,000","Jun 2025","$85,720,000","$342,880,000","$314,327,000","21.59%","5.08","169,688,109","2021","2005","Noah Glass, Matthew Tucker, and Damir Becirovic","New York City, New York, United States","$5,690,000","$22,760,000","5480.39%","6.64%","$1,580,000","$6,320,000","-72.42%","1.84%","$377,440,000","4.64%","$13,984,000.00","RRE Ventures, Tiger Global Management, The Raine Group","$91 million","617","$555,700","Online ordering platform for restaurants, enabling customers to order food for delivery or pickup.","","","http://www.olo.com","http://investors.olo.com","https://www.sec.gov/Archives/edgar/data/1431695/000119312521049073/d867519ds1.htm","https://www.sec.gov/Archives/edgar/data/1431695/000143169524000008/olo-20231231.htm"
"OneSpan","OSPN","$15.61","$598,000,000","Jun 2025","$59,840,000","$239,360,000","$240,622,000","-1.77%","2.50","38,308,776","1998","1991","T. Kendall Hunt","Chicago, Illinois, United States","$13,010,000","$52,040,000","6.51%","21.74%","$8,340,000","$33,360,000","27.30%","13.94%","$92,890,000","45.49%","$6,932,000.00","Bessemer Venture Partners, Trident Capital, Fidelity Investments","$47 million","471","$508,200","Digital identity and authentication solutions enabling secure transactions and preventing fraud.","","","http://www.onespan.com","http://investors.onespan.com","https://www.sec.gov/Archives/edgar/data/1044777/000095013606000265/file001.htm","https://www.sec.gov/Archives/edgar/data/1044777/000162828024009466/ospn-20231231.htm"
"OneStream","OS","$18.82","$4,570,000,000","Jun 2025","$147,590,000","$590,360,000","$545,514,000","25.61%","7.74","242,826,780","2024","2010","Tom Shea, Bob Powers, and Craig Colby","Birmingham, Michigan, United States","-$31,140,000","-$124,560,000","-191.28%","-21.10%","-$18,430,000","-$73,720,000","-134.80%","-12.49%","$652,080,000","364.07%","$18,594,000.00","D1 Capital Partners, Tiger Global, Investment Group of Santa Barbara","$200 million","1500","$393,600","Unified corporate performance management (CPM) platform designed to streamline financial consolidation, planning, reporting, and analysis.","","","http://www.onestream.com","https://investor.onestream.com/","https://www.sec.gov/Archives/edgar/data/1889956/000095017024079050/onestream_s-1_ipo.htm",""
"OpenText","OTEX","$36.59","$9,305,000,000","Jun 2025","$1,310,000,000","$5,240,000,000","$5,168,405,000","-3.79%","1.78","254,304,455","1996","1991","Tom Jenkins, Tim Bray, Frank Tompa, Gaston Gonnet","Waterloo, Ontario, Canada","$371,310,000","$1,485,240,000","1.09%","28.34%","$28,830,000","$115,320,000","-88.38%","2.20%","$1,160,000,000","-9.80%","$6,643,784,000.00","Battery Ventures, Sequoia Capital","$1.5 million","21400","$244,900","Enterprise information management software with content management, business process management, and customer experience management features.","","","http://www.opentext.com","http://investors.opentext.com","","https://www.sec.gov/Archives/edgar/data/1002638/000100263824000052/otex-20240630.htm"
"Oracle","ORCL","$306.65","$871,411,000,000","May 2025","$15,900,000,000","$63,600,000,000","$57,399,000,000","11.31%","13.70","2,841,712,050","1986","1977","Larry Ellison, Bob Miner, Ed Oates","Redwood City, California, United States","$6,710,000,000","$26,840,000,000","9.29%","42.20%","$3,430,000,000","$13,720,000,000","9.00%","21.57%","$11,200,000,000","5.08%","$104,104,000,000.00","Sequoia Capital","$2 million","162000","$392,600","Wide range of enterprise software platforms, including database management systems, cloud services, and business applications.","","","http://www.oracle.com","http://investor.oracle.com","","https://www.sec.gov/Archives/edgar/data/1341439/000095017024075605/orcl-20240531.htm"
"PagerDuty","PD","$15.95","$1,487,000,000","Jul 2025","$123,410,000","$493,640,000","$483,608,000","6.45%","3.01","93,228,840","2019","2010","Alex Solomon, Andrew Miklas, Baskar Puvanathasan, Dan Alexandru, Dan Mills, David Shackleton, Devananda van der Veen, Jennifer Tejada, John Laban, Julian Dunn, Michael Basnight, Ramin Sayar, Rob Malnati, Sean Higgins","San Francisco, California, United States","$6,690,000","$26,760,000","161.55%","5.42%","$9,780,000","$39,120,000","173.83%","7.92%","$567,850,000","-5.25%","$463,652,000.00","Andreessen Horowitz, Accel, Bessemer Venture Partners","$173.6 million","1242","$397,500","Incident management platform that helps businesses respond to critical issues, providing real-time alerts, on-call scheduling, and automated escalations.","","","http://www.pagerduty.com","http://investor.pagerduty.com","https://www.sec.gov/Archives/edgar/data/1568100/000162828019003003/pagerdutys-1.htm","https://www.sec.gov/Archives/edgar/data/1568100/000156810024000013/pd-20240131.htm"
"Palantir","PLTR","$170.26","$403,744,000,000","Jun 2025","$1,000,000,000","$4,000,000,000","$3,440,587,000","48.01%","100.94","2,371,337,954","2020","2003","Peter Thiel, Alex Karp, Joe Lonsdale, Stephen Cohen, and Adi Tatarko","Denver, Colorado, United States","$275,850,000","$1,103,400,000","143.26%","27.59%","$326,730,000","$1,306,920,000","143.60%","32.67%","$6,000,000,000","50.07%","$239,219,000.00","Founders Fund, In-Q-Tel, 17 Capital, Tiger Global Management","$2.6 billion","4164","$960,600","Data integration, machine learning and data analysis platforms for governement and enterprise.","","","http://www.palantir.com","http://investors.palantir.com","https://www.sec.gov/Archives/edgar/data/1321655/000119312520230013/d904406ds1.htm","https://www.sec.gov/Archives/edgar/data/1321655/000132165524000022/pltr-20231231.htm"
"Palo Alto Networks","PANW","$201.34","$134,676,000,000","Jul 2025","$2,540,000,000","$10,160,000,000","$8,874,700,000","15.84%","13.26","668,898,381","2012","2005","Nir Zuk","Santa Clara, California, United States","$585,300,000","$2,341,200,000","86.51%","23.04%","$253,800,000","$1,015,200,000","-29.05%","9.99%","$2,900,000,000","12.58%","$1,344,400,000.00","Greylock Partners, Sequoia Capital","$65 million","15866","$640,400","Cybersecurity solutions including next-generation firewalls, cloud security, and threat intelligence services to protect organizations from cyber threats and safeguard their digital assets and networks","","","http://www.paloaltonetworks.com","http://investors.paloaltonetworks.com","https://www.sec.gov/Archives/edgar/data/1327567/000119312512153764/d318373ds1.htm","https://www.sec.gov/Archives/edgar/data/1327567/000132756724000029/panw-20240731.htm"
"PAR Technology","PAR","$42.42","$1,721,000,000","Jun 2025","$112,400,000","$449,600,000","$418,022,000","43.83%","3.83","40,570,486","1983","1968","John W. Sammon Jr., Donald H. Foley","New Hartford, New York, United States","-$12,770,000","-$51,080,000","30.70%","-11.36%","-$21,040,000","-$84,160,000","-138.83%","-18.72%","$85,690,000","-39.85%","$376,664,000.00","BlackRock, Vanguard Group","N/A","1583","$284,000","Software solutions for the hospitality industry, including point-of-sale systems, workforce management, and food safety compliance.","","","http://www.partech.com","http://www.partech.com/investor-relations/","","https://www.sec.gov/Archives/edgar/data/708821/000070882124000014/par-20231231.htm"
"Paycom","PAYC","$213.32","$12,001,000,000","Jun 2025","$483,600,000","$1,934,400,000","$1,959,907,000","10.54%","6.20","56,258,204","2014","1998","Chad Richison","Oklahoma City, Oklahoma, United States","$154,300,000","$617,200,000","18.15%","31.91%","$89,500,000","$358,000,000","31.62%","18.51%","$532,200,000","53.61%","$83,400,000.00","N/A","$27 million","7306","$264,800","Human resources platform with features like payroll, HR, talent acquisition, and time and labor management.","","","http://www.paycom.com","http://investors.paycom.com","https://www.sec.gov/Archives/edgar/data/1590955/000119312514091543/d609623ds1.htm","https://www.sec.gov/Archives/edgar/data/1590955/000095017024015863/payc-20231231.htm"
"Paylocity","PCTY","$165.87","$9,150,000,000","Jun 2025","$400,740,000","$1,602,960,000","$1,549,851,000","12.16%","5.71","55,163,682","2014","1997","Steve Sarowitz","Schaumburg, Illinois, United States","$77,170,000","$308,680,000","15.27%","19.26%","$48,610,000","$194,440,000","-0.44%","12.13%","$398,070,000","-0.93%","$217,893,000.00","Adams Street Partners, Great Hill Partners","$27 million","6700","$239,200","Payroll and human resources solutions for SMBs and Enterprise.","","","http://www.paylocity.com","http://investors.paylocity.com","https://www.sec.gov/Archives/edgar/data/1591698/000104746914002485/a2218484zs-1a.htm","https://www.sec.gov/Archives/edgar/data/1591698/000159169824000151/pcty-20240630.htm"
"Pegasystems","PEGA","$58.04","$9,930,000,000","Jun 2025","$384,510,000","$1,538,040,000","$1,676,025,000","9.50%","6.46","171,088,904","1996","1983","Alan Trefler","Cambridge, Massachusetts, United States","$20,420,000","$81,680,000","12.43%","5.31%","$30,080,000","$120,320,000","354.82%","7.82%","$411,570,000","-38.12%","$549,668,000.00","Bessemer Venture Partners, Matrix Partners","$5 million","5443","$282,600","Business process automation, operations management, and customer engagement solutions.","","","http://www.pega.com","http://www.pega.com/about/investors","","https://www.sec.gov/Archives/edgar/data/1013857/000101385724000012/pega-20231231.htm"
"Perion Network","PERI","$9.47","$427,000,000","Jun 2025","$102,980,000","$411,920,000","$424,098,000","-5.25%","1.04","45,089,757","2006","2000","Ofer Adler, Yaron Adler","Tel Aviv, Israel","-$3,070,000","-$12,280,000","-1124.00%","-2.98%","-$3,470,000","-$13,880,000","44.10%","-3.37%","$318,980,000","-21.64%","$22,302,000.00","N/A","$20 million","528","$780,200","Digital advertising tools, including ad-blocking, search monetization, and social media advertising.","","","http://www.perion.com","http://www.perion.com/investors/","",""
"Pros Holding","PRO","$14.99","$721,000,000","Jun 2025","$88,720,000","$354,880,000","$342,708,000","8.17%","2.03","48,098,732","2007","1985","Andres Reiner, Ronald F. Woestemeyer","Houston, Texas, United States","-$5,730,000","-$22,920,000","-14.72%","-6.46%","-$1,760,000","-$7,040,000","76.23%","-1.98%","$178,960,000","28.67%","$300,894,000.00","TA Associates, Fidelity Investments","$40 million","1501","$236,400","Pricing and revenue management solutions.","","","http://www.pros.com","http://ir.pros.com","https://www.sec.gov/Archives/edgar/data/1392972/000104746907002561/a2176970zs-1.htm","https://www.sec.gov/Archives/edgar/data/1392972/000139297224000025/pro-20231231.htm"
"PubMatic","PUBM","$8.42","$385,000,000","Jun 2025","$71,100,000","$284,400,000","$292,208,000","5.69%","1.35","45,724,466","2020","2006","Rajeev Goel, Amar Goel, Anand Das, Amar Goel","Redwood City, California, United States","$300,000","$1,200,000","-87.24%","0.42%","-$5,210,000","-$20,840,000","-364.23%","-7.33%","$117,560,000","-29.00%","$45,381,000.00","August Capital, Draper Fisher Jurvetson (DFJ), Helion Venture Partners, Nexus Venture Partners","$76 million","1049","$271,100","Digital advertising with features like programmatic advertising, real-time bid management, and analytics.","","","http://www.pubmatic.com","http://investors.pubmatic.com","https://www.sec.gov/Archives/edgar/data/1422930/000162828020016438/pubmatics-12020.htm","https://www.sec.gov/Archives/edgar/data/1422930/000142293024000012/pubm-20231231.htm"
"Qualys","QLYS","$132.20","$4,772,000,000","Jun 2025","$164,060,000","$656,240,000","$637,019,000","10.32%","7.27","36,096,823","2012","1999","Philippe Courtot","Foster City, California, United States","$55,380,000","$221,520,000","4.80%","33.76%","$47,290,000","$189,160,000","8.04%","28.82%","$370,030,000","-5.89%","$47,221,000.00","Trident Capital, ABS Ventures","N/A","2484","$264,200","Cloud-based security and compliance solutions, including vulnerability management, threat protection, and asset inventory services","","","http://www.qualys.com","http://investor.qualys.com","https://www.sec.gov/Archives/edgar/data/1107843/000119312512265366/d355355ds1.htm","https://www.sec.gov/Archives/edgar/data/1107843/000110784324000008/qlys-20231231.htm"
"Rackspace Technology","RXT","$1.35","$323,000,000","Jun 2025","$666,300,000","$2,665,200,000","$2,711,700,000","-2.72%","0.12","239,259,259","2020","1998","Graham Weston, Dirk Elmendorf, Pat Condon, Richard Yoo","San Antonio, Texas, United States","$54,700,000","$218,800,000","42.82%","8.21%","-$54,500,000","-$218,000,000","-318.00%","-8.18%","$103,900,000","-56.73%","$3,281,900,000.00","Apollo Global Management","$1.3 billion","5100","$522,600","Managed cloud services, multi-cloud solutions, and professional services.","","","http://www.rackspace.com","http://ir.rackspace.com","https://www.sec.gov/Archives/edgar/data/1810019/000119312520190902/d915709ds1.htm","https://www.sec.gov/Archives/edgar/data/1810019/000181001924000042/rxt-20231231.htm"
